id,titulo,anio,duracion,genero,plataforma,estreno_cine,actores,directores,votos,puntuacion,poster_url
619979,Aguas profundas,2022,115,"Drama, Misterio, Suspense",New Regency Pictures,2022-03-17,"Ben Affleck, Ana de Armas, Tracy Letts",Adrian Lyne,1475,5.824,https://image.tmdb.org/t/p/w500/aarAi6bp8Cl3RYXy2lpeLc1hGS7.jpg
760104,X,2022,105,"Terror, Suspense",A24,2022-03-17,"Mia Goth, Jenna Ortega, Brittany Snow",Ti West,3558,6.7,https://image.tmdb.org/t/p/w500/4pCSBPHUPia93rppHF3UX4cLQ9M.jpg
646385,Scream,2022,120,"Terror, Misterio",Paramount Pictures,2022-01-12,"Melissa Barrera, Jenna Ortega, Mason Gooding","Tyler Gillett, Matt Bettinelli-Olpin",3497,6.677,https://image.tmdb.org/t/p/w500/uWKJyIISWzP7KmB2vcgrX7xyhUh.jpg
913290,Barbarian,2022,103,"Terror, Suspense",BoulderLight Pictures,2022-09-08,"Georgina Campbell, Justin Long, Bill Skarsgård",Zach Cregger,2724,6.829,https://image.tmdb.org/t/p/w500/rHDL6LTRgc9h3oGkeoWVJpnkhTI.jpg
744276,After: Amor infinito,2022,95,"Romance, Drama",Voltage Pictures,2022-08-24,"Josephine Langford, Hero Fiennes Tiffin, Louise Lombard",Castille Landon,1287,6.799,https://image.tmdb.org/t/p/w500/vcI9BD5kMmVI45Pzj5B1ZaGpFIR.jpg
829560,365 días más,2022,112,"Romance, Drama",Ekipa,2022-08-18,"Anna-Maria Sieklucka, Michele Morrone, Simone Susinna","Barbara Białowąs, Tomasz Mandes",1221,6.359,https://image.tmdb.org/t/p/w500/dvKpJZUxI1Rsgvrl8HHv62CpBBh.jpg
338953,Animales fantásticos: Los secretos de Dumbledore,2022,143,"Fantasía, Aventura",Warner Bros. Pictures,2022-04-06,"Eddie Redmayne, Jude Law, Mads Mikkelsen",David Yates,4742,6.642,https://image.tmdb.org/t/p/w500/yOeuJdwag4bAlnvgrdweRoiuXGC.jpg
949423,Pearl,2022,101,"Terror, Suspense",A24,2022-09-16,"Mia Goth, David Corenswet, Tandi Wright",Ti West,2221,7.248,https://image.tmdb.org/t/p/w500/z5uIG81pXyHKg7cUFIu84Wjn4NS.jpg
979077,Fernanda,2022,12,Comedia,N/A,2022-06-20,"Lorena Russi, Yara Martinez, Justina Machado",Mary Angélica Molina,3,5.333,https://image.tmdb.org/t/p/w500/q1eUNZ55yINqWZwSdzFQNSwKJiK.jpg
593643,El menú,2022,106,"Comedia, Terror, Suspense",Hyperobject Industries,2022-11-17,"Anya Taylor-Joy, Ralph Fiennes, Nicholas Hoult",Mark Mylod,5407,7.174,https://image.tmdb.org/t/p/w500/eNcfCScUUyHQyjP84P25a8ColWp.jpg
1017129,Чинк - хвостатый детектив,2022,85,"Animación, Comedia, Misterio, Aventura, Familia",Central Partnership,2022-11-17,"Ivan Chaban, Александр Олешко, Михаил Кшиштовский",Григорий Вожакин,3,9.167,https://image.tmdb.org/t/p/w500/fXkdpstjgSnaLX1iFxQh62mIa3L.jpg
882598,Smile,2022,115,"Terror, Misterio",Paramount Players,2022-09-23,"Sosie Bacon, Kyle Gallner, Jessie T. Usher",Parker Finn,3617,6.665,https://image.tmdb.org/t/p/w500/qJO54b6LsBmEkMxdW8ZziL9Mnam.jpg
663712,Terrifier 2,2022,138,"Terror, Suspense",Dark Age Cinema,2022-10-06,"David Howard Thornton, Lauren LaVera, Elliott Fullam",Damien Leone,2266,6.713,https://image.tmdb.org/t/p/w500/1jpaJU7mqyzCWkLwakpVxlBv9lA.jpg
698508,Amor redentor,2022,134,"Romance, Drama, Western",Mission Pictures International,2022-01-21,"Abigail Cowen, Tom Lewis, Eric Dane",D.J. Caruso,632,7.839,https://image.tmdb.org/t/p/w500/vBpxJkFsfSjghmrizJr5xhQyACQ.jpg
579974,RRR,2022,185,"Acción, Aventura, Drama",DVV Entertainment,2022-03-24,"N.T. Rama Rao Jr., Ram Charan, Olivia Morris",S. S. Rajamouli,1421,7.758,https://image.tmdb.org/t/p/w500/sxI1qKDHZRAi2LPmJUPhQ2x1u07.jpg
526896,Morbius,2022,109,"Acción, Ciencia ficción, Fantasía",Columbia Pictures,2022-03-30,"Jared Leto, Matt Smith, Adria Arjona",Daniel Espinosa,4513,5.957,https://image.tmdb.org/t/p/w500/4jcJHqIVsb4MFdYrDajXeEVlDvH.jpg
556694,Tres mil años esperándote,2022,108,"Drama, Fantasía, Romance",FilmNation Entertainment,2022-08-24,"Tilda Swinton, Idris Elba, Erdil Yaşaroğlu",George Miller,1483,6.901,https://image.tmdb.org/t/p/w500/jLn7xoVjptsXYUQX8eHphdQycZe.jpg
762975,Corazones malheridos,2022,122,"Romance, Drama",Alloy Entertainment,2022-07-29,"Sofia Carson, Nicholas Galitzine, John Harlan Kim",Elizabeth Allen Rosenbaum,2688,8.082,https://image.tmdb.org/t/p/w500/ndp4yIfg04i3raprDJ0UKWD8IK9.jpg
